S.No,States/UTs,Unspent Balance (in Rs. Crore)
1,A & N Island,4.22
2,Andhra Pradesh,265.91
3,Arunachal Pradesh,8.73
4,Assam,141.75
5,Bihar,309.03
6,Chandigarh,3.26
7,Chhattisgarh,63.88
8,D & N Haveli,8.36
9,Daman & Diu,6
10,Delhi,73.4
11,Goa,16.1
12,Gujarat,193.56
13,Haryana,88.79
14,Himachal Pradesh,56.94
15,Jammu & Kashmir,58.38
16,Jharkhand,157.67
17,Karnataka,259.7
18,Kerala,108.46
19,Lakshadweep,6.7
20,Madhya Pradesh,225.38
21,Maharashtra,385.49
22,Manipur,14.52
23,Meghalaya,6.64
24,Mizoram,1.91
25,Nagaland,5.15
26,Odisha,249.5
27,Puducherry,10.97
28,Punjab,118.93
29,Rajasthan,240.3
30,Sikkim,9.12
31,Tamil Nadu,247.1
32,Telangana,68.22
33,Tripura,9.13
34,Uttar Pradesh,665.58
35,Uttarakhand,71.34
36,West Bengal,229.49
Sub Total,Sub Total,4389.61
Nominated,Nominated,90.53
Sub Total,Sub Total,90.53
Grand Total,Grand Total,4480.14
