project_id,record_date,reported_progress,financial_expenditure,status,data_status
SYN-PRJ-00001,2024-03-01,26.1,395201.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00001,2024-05-11,73.9,1117798.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00001,2024-07-21,100.0,1513000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00002,2024-11-30,7.0,28222.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00002,2025-02-01,22.1,89527.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00002,2025-04-05,40.5,164472.5,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00002,2025-06-07,55.6,225777.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00002,2025-08-09,62.6,254000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00003,2022-07-11,11.1,512666.7,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00003,2022-09-13,35.2,1626298.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00003,2022-11-16,64.8,2987701.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00003,2023-01-19,88.9,4101333.3,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00003,2023-03-25,100.0,4614000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00004,2021-06-28,18.9,226725.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00004,2021-08-09,53.5,641275.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00004,2021-09-20,72.4,868000.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00005,2021-06-16,26.1,313444.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00005,2021-08-27,73.9,886555.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00005,2021-11-07,100.0,1200000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00006,2022-03-28,16.1,518547.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00006,2022-06-02,50.0,1606500.0,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00006,2022-08-07,83.9,2694452.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00006,2022-10-12,100.0,3213000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00007,2023-12-26,6.4,81098.6,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00007,2024-02-25,20.2,257023.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00007,2024-04-27,39.4,501259.9,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00007,2024-06-27,60.6,771740.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00007,2024-08-28,79.8,1015976.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00007,2024-10-28,93.6,1191901.4,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00007,2024-12-29,100.0,1273000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00008,2021-07-11,26.1,124594.2,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00008,2021-09-15,73.9,352405.8,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00008,2021-11-20,100.0,477000.0,COMPLETED,SYNTHETIC
SYN-PRJ-00009,2021-05-14,11.1,486111.1,IN_PROGRESS,SYNTHETIC
SYN-PRJ-00009,2021-07-13,35.2,1542058.2,IN_PROGRESS,SYNTHETIC
